"","model","estimator","b","k_obs","k_estimate"
"1","fa_orthogonal","bic",1,4,4
"2","fa_orthogonal","bic",2,4,4
"3","fa_orthogonal","kaiser_guttman",1,6,6
"4","fa_orthogonal","kaiser_guttman",2,6,5
"5","fa_orthogonal","parallel_analysis",1,4,4
"6","fa_orthogonal","parallel_analysis",2,4,4
"29","fa_orthogonal","parallel_analysis",2,4,4
"30","fa_orthogonal","parallel_analysis",2,4,4
"31","fa_orthogonal","parallel_analysis",2,4,4
"32","fa_orthogonal","parallel_analysis",2,4,4
"33","fa_orthogonal","parallel_analysis",2,4,4
"34","fa_orthogonal","parallel_analysis",2,4,4
"7","fa_orthogonal","rmsea",1,4,4
"8","fa_orthogonal","rmsea",2,4,4
"9","fa_orthogonal","ega",1,4,4
"10","fa_orthogonal","ega",2,4,4
"11","fa_orthogonal","vss",1,4,4
"12","fa_orthogonal","vss",2,4,5
"13","fa_orthogonal","map",1,5,4
"14","fa_orthogonal","map",2,5,5
"35","fa_orthogonal","map",2,5,5
"36","fa_orthogonal","map",2,5,7
"37","fa_orthogonal","map",2,5,8
"38","fa_orthogonal","map",2,5,9
"39","fa_orthogonal","map",2,5,1
"15","fa_oblique","bic",1,4,3
"16","fa_oblique","bic",2,4,4
"17","fa_oblique","kaiser_guttman",1,6,5
"18","fa_oblique","kaiser_guttman",2,6,6
"19","fa_oblique","parallel_analysis",1,4,4
"20","fa_oblique","parallel_analysis",2,4,4
"21","fa_oblique","rmsea",1,4,4
"22","fa_oblique","rmsea",2,4,4
"23","fa_oblique","ega",1,4,4
"24","fa_oblique","ega",2,4,4
"25","fa_oblique","vss",1,4,3
"26","fa_oblique","vss",2,4,5
"27","fa_oblique","map",1,5,4
"28","fa_oblique","map",2,5,5
