"","model","estimator","k_obs","k_estimate"
"1","fa_oblique","bic",5,5
"2","fa_oblique","kaiser_guttman",5,5
"3","fa_oblique","parallel_analysis",5,5
"4","fa_oblique","rmsea",5,5
"5","fa_oblique","ega",5,5
"6","fa_oblique","vss",6,6
"7","fa_oblique","map",5,5
"8","fa_oblique","bic",5,4
"9","fa_oblique","kaiser_guttman",5,5
"10","fa_oblique","parallel_analysis",5,5
"11","fa_oblique","rmsea",5,5
"12","fa_oblique","ega",5,5
"13","fa_oblique","vss",5,5
"14","fa_oblique","map",5,5
"15","fa_oblique","bic",1,1
"16","fa_oblique","kaiser_guttman",9,8
"17","fa_oblique","parallel_analysis",0,0
"18","fa_oblique","rmsea",1,1
"19","fa_oblique","ega",NA,NA
"20","fa_oblique","vss",10,10
"21","fa_oblique","map",1,1
