"","sigma_sq","p","k","rho","alpha=0.2","alpha=0.1","alpha=0.05","alpha=0.01"
"1",0.5,20,3,0,0.835,0.91,0.95,0.985
"2",1,20,3,0,0.78,0.885,0.955,0.995
"3",2,20,3,0,0.81,0.9,0.965,0.995
"4",0.5,50,3,0,0.84,0.925,0.96,0.995
"5",1,50,3,0,0.825,0.9,0.965,0.99
"6",2,50,3,0,0.795,0.935,0.975,0.995
"7",0.5,20,5,0,0.8,0.92,0.96,0.99
"8",1,20,5,0,0.81,0.895,0.95,1
"9",2,20,5,0,0.84,0.95,0.98,0.995
"10",0.5,50,5,0,0.815,0.905,0.93,1
"11",1,50,5,0,0.835,0.935,0.975,0.995
"12",2,50,5,0,0.815,0.905,0.945,0.99
"13",0.5,20,7,0,0.76,0.895,0.94,0.99
"14",1,20,7,0,0.715,0.84,0.895,0.985
"15",2,20,7,0,0.615,0.765,0.865,0.96
"16",0.5,50,7,0,0.82,0.91,0.95,1
"17",1,50,7,0,0.825,0.945,0.975,0.995
"18",2,50,7,0,0.795,0.895,0.95,0.995
"19",0.5,20,3,0.3,0.795,0.905,0.97,0.995
"20",1,20,3,0.3,0.805,0.895,0.94,0.99
"21",2,20,3,0.3,0.765,0.88,0.93,0.99
"22",0.5,50,3,0.3,0.77,0.9,0.95,0.995
"23",1,50,3,0.3,0.75,0.85,0.925,0.98
"24",2,50,3,0.3,0.82,0.935,0.965,0.99
"25",0.5,20,5,0.3,0.79,0.88,0.95,0.995
"26",1,20,5,0.3,0.83,0.895,0.915,0.995
"27",2,20,5,0.3,0.825,0.905,0.945,1
"28",0.5,50,5,0.3,0.785,0.87,0.94,0.995
"29",1,50,5,0.3,0.81,0.895,0.94,0.99
"30",2,50,5,0.3,0.8,0.89,0.93,0.97
"31",0.5,20,7,0.3,0.78,0.885,0.915,0.98
"32",1,20,7,0.3,0.71,0.85,0.92,0.98
"33",2,20,7,0.3,0.515,0.68,0.82,0.925
"34",0.5,50,7,0.3,0.83,0.915,0.945,1
"35",1,50,7,0.3,0.81,0.915,0.955,0.99
"36",2,50,7,0.3,0.83,0.905,0.945,0.995
"37",0.5,20,3,0.6,0.845,0.91,0.95,0.99
"38",1,20,3,0.6,0.795,0.93,0.95,0.99
"39",2,20,3,0.6,0.795,0.9,0.955,1
"40",0.5,50,3,0.6,0.805,0.9,0.945,1
"41",1,50,3,0.6,0.82,0.91,0.95,0.995
"42",2,50,3,0.6,0.87,0.94,0.965,1
"43",0.5,20,5,0.6,0.85,0.92,0.955,0.99
"44",1,20,5,0.6,0.84,0.92,0.945,1
"45",2,20,5,0.6,0.66,0.77,0.9,0.975
"46",0.5,50,5,0.6,0.84,0.935,0.965,0.995
"47",1,50,5,0.6,0.83,0.935,0.975,0.995
"48",2,50,5,0.6,0.8,0.91,0.95,0.99
"49",0.5,20,7,0.6,0.735,0.83,0.89,0.975
"50",1,20,7,0.6,0.57,0.72,0.83,0.955
"51",2,20,7,0.6,0.39,0.54,0.635,0.86
"52",0.5,50,7,0.6,0.76,0.895,0.935,0.985
"53",1,50,7,0.6,0.815,0.9,0.955,0.99
"54",2,50,7,0.6,0.745,0.82,0.895,0.975
